"sample"	"instrument"	"run_date"	"file"	"labshare_path"
"197Cpos"	"FSN10352"	"2015-09-04 06:09:50Z"	"197Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/197Cpos.raw"
"197Npos"	"FSN10352"	"2015-09-04 05:36:26Z"	"197Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/197Npos.raw"
"198Cpos"	"FSN10352"	"2015-09-04 05:18:47Z"	"198Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/198Cpos.raw"
"198Npos"	"FSN10352"	"2015-09-04 05:02:03Z"	"198Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/198Npos.raw"
"199Cpos"	"FSN10352"	"2015-09-04 04:45:23Z"	"199Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/199Cpos.raw"
"199Npos"	"FSN10352"	"2015-09-04 04:27:47Z"	"199Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/199Npos.raw"
"201Cpos"	"FSN10352"	"2015-09-04 03:54:07Z"	"201Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/201Cpos.raw"
"201Npos"	"FSN10352"	"2015-09-04 03:37:26Z"	"201Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/201Npos.raw"
"204Cpos"	"FSN10352"	"2015-09-04 03:20:19Z"	"204Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/204Cpos.raw"
"204Npos"	"FSN10352"	"2015-09-04 03:04:05Z"	"204Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/204Npos.raw"
"205Cpos"	"FSN10352"	"2015-09-04 02:47:11Z"	"205Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/205Cpos.raw"
"205Npos"	"FSN10352"	"2015-09-04 02:12:54Z"	"205Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/205Npos.raw"
"206Cpos"	"FSN10352"	"2015-09-04 01:55:39Z"	"206Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/206Cpos.raw"
"206Npos"	"FSN10352"	"2015-09-04 01:39:04Z"	"206Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/206Npos.raw"
"207Cpos"	"FSN10352"	"2015-09-04 01:21:43Z"	"207Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/207Cpos.raw"
"207Npos"	"FSN10352"	"2015-09-04 01:05:13Z"	"207Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/207Npos.raw"
"208Cpos"	"FSN10352"	"2015-09-04 00:31:34Z"	"208Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/208Cpos.raw"
"208Npos"	"FSN10352"	"2015-09-04 00:14:43Z"	"208Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 3 2015 runs/lc vs ctrl tissu pos/208Npos.raw"
"211Cpos"	"FSN10115"	"2014-07-27 18:54:25Z"	"211Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/211Cpos.raw"
"211NPos"	"FSN10115"	"2014-07-27 10:36:33Z"	"211NPos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/211NPos.raw"
"212Cposb"	"FSN10115"	"2014-07-28 10:39:14Z"	"212Cposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/212Cposb.raw"
"212Npos"	"FSN10115"	"2014-07-27 19:27:46Z"	"212Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/212Npos.raw"
"212Npos"	"FSN10115"	"2014-08-06 13:46:11Z"	"212Nposr_140806134611.raw"	"~Archive/Fahrenholz/February 11 2015 backup/August 6 2014 runs/repeat of Justin's sample/212Nposr_140806134611.raw"
"212Npos"	"FSN10115"	"2014-08-06 13:01:42Z"	"212Nposr.raw"	"~Archive/Fahrenholz/February 11 2015 backup/August 6 2014 runs/repeat of Justin's sample/212Nposr.raw"
"213Cpos"	"FSN10115"	"2014-07-27 21:09:18Z"	"213Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/213Cpos.raw"
"213Npos"	"FSN10115"	"2014-07-27 20:35:11Z"	"213Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/213Npos.raw"
"214Cpos"	"FSN10115"	"2014-07-27 22:16:50Z"	"214Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/214Cpos.raw"
"214Npos"	"FSN10115"	"2014-07-27 21:43:03Z"	"214Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/214Npos.raw"
"215Cpos"	"FSN10115"	"2014-07-27 23:23:50Z"	"215Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/215Cpos.raw"
"215Npos"	"FSN10115"	"2014-07-27 22:50:30Z"	"215Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/215Npos.raw"
"216Cpos"	"FSN10115"	"2014-07-28 00:31:29Z"	"216Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/216Cpos.raw"
"216Npos"	"FSN10115"	"2014-07-27 23:57:52Z"	"216Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/216Npos.raw"
"217Cpos"	"FSN10115"	"2014-07-28 01:39:26Z"	"217Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/217Cpos.raw"
"217Npos"	"FSN10115"	"2014-07-28 01:05:08Z"	"217Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/217Npos.raw"
"218Cpos"	"FSN10115"	"2014-07-28 02:46:40Z"	"218Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/218Cpos.raw"
"218Nposb"	"FSN10115"	"2014-07-28 11:13:27Z"	"218Nposb.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/218Nposb.raw"
"220Cpos"	"FSN10115"	"2014-07-28 03:53:58Z"	"220Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/220Cpos.raw"
"220Npos"	"FSN10115"	"2014-07-28 03:20:33Z"	"220Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/positive mode tissue samples/220Npos.raw"
"25Cpos"	"FSN10352"	"2015-09-05 03:50:07Z"	"25Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/25Cpos.raw"
"25Npos"	"FSN10352"	"2015-09-05 03:33:32Z"	"25Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/25Npos.raw"
"27Cpos"	"FSN10352"	"2015-09-05 03:17:06Z"	"27Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/27Cpos.raw"
"27Npos"	"FSN10352"	"2015-09-05 02:59:24Z"	"27Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/27Npos.raw"
"31Cpos"	"FSN10352"	"2015-09-05 02:25:27Z"	"31Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/31Cpos.raw"
"31Npos"	"FSN10352"	"2015-09-05 02:08:58Z"	"31Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/31Npos.raw"
"38Cpos"	"FSN10352"	"2015-09-05 01:52:15Z"	"38Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/38Cpos.raw"
"38Npos"	"FSN10352"	"2015-09-05 01:34:57Z"	"38Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/38Npos.raw"
"39Cpos"	"FSN10352"	"2015-09-05 01:18:21Z"	"39Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/39Cpos.raw"
"39Npos"	"FSN10352"	"2015-09-05 00:44:04Z"	"39Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/39Npos.raw"
"3bNpos"	"FSN10352"	"2015-09-23 19:39:12Z"	"3bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/3bNpos.raw"
"3bCpos"	"FSN10352"	"2015-09-23 19:56:41Z"	"3bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/3bCpos.raw"
"40Cpos"	"FSN10352"	"2015-09-05 00:27:38Z"	"40Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/40Cpos.raw"
"40Npos"	"FSN10352"	"2015-09-05 00:10:30Z"	"40Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/40Npos.raw"
"41Cpos"	"FSN10352"	"2015-09-04 23:53:39Z"	"41Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/41Cpos.raw"
"41Npos"	"FSN10352"	"2015-09-04 23:36:40Z"	"41Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/41Npos.raw"
"42Cpos"	"FSN10352"	"2015-09-04 23:03:51Z"	"42Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/42Cpos.raw"
"42Npos"	"FSN10352"	"2015-09-04 22:46:22Z"	"42Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/42Npos.raw"
"45Cpos"	"FSN10352"	"2015-09-04 22:29:10Z"	"45Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/45Cpos.raw"
"45Npos"	"FSN10352"	"2015-09-04 22:12:21Z"	"45Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/45Npos.raw"
"46Cpos"	"FSN10352"	"2015-09-04 21:55:55Z"	"46Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/46Cpos.raw"
"46Npos"	"FSN10352"	"2015-09-04 21:21:50Z"	"46Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/46Npos.raw"
"47Cpos"	"FSN10352"	"2015-09-04 21:05:29Z"	"47Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/47Cpos.raw"
"47Npos"	"FSN10352"	"2015-09-04 20:48:11Z"	"47Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/47Npos.raw"
"48Cpos"	"FSN10352"	"2015-09-04 20:30:56Z"	"48Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/48Cpos.raw"
"48Npos"	"FSN10352"	"2015-09-04 20:14:10Z"	"48Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/48Npos.raw"
"49Cpos"	"FSN10115"	"2015-08-20 19:37:20Z"	"49Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/49Cpos.raw"
"49Npos"	"FSN10115"	"2015-08-20 19:20:17Z"	"49Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/49Npos.raw"
"4bCpos"	"FSN10352"	"2015-09-23 19:22:42Z"	"4bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/4bCpos.raw"
"4bNpos"	"FSN10352"	"2015-09-23 19:04:44Z"	"4bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/4bNpos.raw"
"53Cpos"	"FSN10115"	"2015-08-20 20:10:37Z"	"53Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/53Cpos.raw"
"53Npos"	"FSN10115"	"2015-08-20 19:54:38Z"	"53Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/53Npos.raw"
"55Cpos"	"FSN10352"	"2015-09-23 20:13:13Z"	"55Cpos-7cd8cf07.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 23 2015 runs/lc vs normal tissue samples/55Cpos.raw"
"55Cpos"	"FSN10115"	"2015-08-20 20:44:22Z"	"55Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/55Cpos.raw"
"55Npos"	"FSN10115"	"2015-08-20 20:28:03Z"	"55Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/55Npos.raw"
"58Cpos"	"FSN10115"	"2015-08-20 21:34:48Z"	"58Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/58Cpos.raw"
"58Npos"	"FSN10115"	"2015-08-20 21:18:05Z"	"58Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 20 2015 runs/lung cancer vs normal tissue pos mode/58Npos.raw"
"5bCpos"	"FSN10352"	"2015-09-05 09:11:32Z"	"5bCpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/5bCpos.raw"
"5bNpos"	"FSN10352"	"2015-09-05 08:54:40Z"	"5bNpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/Fusion 2 runs/September 4 2015 runs/lc vs ctrl tissue pos/5bNpos.raw"
"60Cpos"	"FSN10115"	"2015-08-20 05:00:32Z"	"60Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/60Cpos.raw"
"60Npos"	"FSN10115"	"2015-08-20 04:43:44Z"	"60Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/60Npos.raw"
"62Cpos"	"FSN10115"	"2015-08-20 04:27:01Z"	"62Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/62Cpos.raw"
"62Npos"	"FSN10115"	"2015-08-20 04:10:01Z"	"62Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/62Npos.raw"
"63Cpos"	"FSN10115"	"2015-08-20 03:36:38Z"	"63Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/63Cpos.raw"
"63Npos"	"FSN10115"	"2015-08-20 03:19:28Z"	"63Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/63Npos.raw"
"64Cpos"	"FSN10115"	"2015-08-20 03:02:21Z"	"64Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/64Cpos.raw"
"64Npos"	"FSN10115"	"2015-08-20 02:45:32Z"	"64Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/64Npos.raw"
"66Cpos"	"FSN10115"	"2015-08-20 02:28:39Z"	"66Cpos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/66Cpos.raw"
"66Npos"	"FSN10115"	"2015-08-20 02:12:09Z"	"66Npos.raw"	"~Archive/Fahrenholz/Tim data backup April 27 2016/2015 runs/August 19 2015 runs/positve mode lung cancer and corresponding control tissue samples/66Npos.raw"
